Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
Nacho Libre,28309599,80197993,35.3,3070,9221,16-06-2006,Paramount Pictures
Horrible Bosses,28302165,117538559,24.1,3040,9309,08-07-2011,Warner Bros.
The Invisible Man,28205665,70410000,40.1,3610,7813,28-02-2020,Universal Pictures
Erin Brockovich,28138465,125595205,22.4,2848,9880,17-03-2000,Universal Pictures
Pacific Rim: Uprising,28116535,59874525,47,3708,7582,23-03-2018,Universal Pictures
Starsky & Hutch,28103367,88237754,31.8,3185,8823,05-03-2004,Warner Bros.
Sin City,28100000,74103820,37.9,3230,8699,01-04-2005,Dimension Films
Teenage Mutant Ninja Turtles: Mutant Mayhem,28007544,118613586,23.6,3858,7259,02-08-2023,Paramount Pictures
Back to the Future Part II,27835125,118450002,23.5,1865,14925,22-11-1989,Universal Pictures
Hairspray,27800000,118871849,23.4,3121,8907,20-07-2007,New Line Cinema
The Matrix,27788331,171479930,16.2,2849,9753,31-03-1999,Warner Bros.
He's Just Not That Into You,27785487,93953653,29.6,3175,8751,06-02-2009,Warner Bros.
Mamma Mia!,27751240,144290968,19.2,2976,9325,18-07-2008,Universal Pictures
Big Momma's House 2,27736056,70165972,39.5,3261,8505,27-01-2006,Twentieth Century Fox
Jarhead,27726210,62658220,44.2,2411,11499,04-11-2005,Universal Pictures
Along Came Polly,27721185,88097164,31.5,2984,9289,16-01-2004,Universal Pictures
Wild Wild West,27687484,113804681,24.3,3342,8284,30-06-1999,Warner Bros.
Aquaman and the Lost Kingdom,27686211,124481226,22.2,3706,7470,22-12-2023,Warner Bros.
Daddy Day Care,27623580,104297061,26.5,3370,8196,09-05-2003,Revolution Studios
The Ugly Truth,27605576,88915214,31,2882,9578,24-07-2009,Sony Pictures Releasing
Cheaper by the Dozen,27557647,138614544,19.9,3298,8355,25-12-2003,Twentieth Century Fox
Wonder,27547866,132422809,20.8,3096,8897,17-11-2017,Lionsgate Films
The Devil Wears Prada,27537244,124740460,22.1,2847,9672,30-06-2006,Twentieth Century Fox
Space Jam,27528529,90418342,30.4,2650,10388,15-11-1996,Warner Bros.
After Earth,27520040,60522097,45.5,3401,8091,31-05-2013,Sony Pictures Releasing
Beowulf,27515871,82280579,33.4,3153,8726,16-11-2007,Paramount Pictures
42,27487144,95020213,28.9,3003,9153,12-04-2013,Warner Bros.
Bedtime Stories,27450296,110101975,24.9,3681,7457,25-12-2008,Walt Disney Studios Motion Pictures
The Final Destination,27408309,66477700,41.2,3121,8781,28-08-2009,Warner Bros.
Jumper,27354808,80172128,34.1,3428,7979,14-02-2008,Twentieth Century Fox
Journey 2: The Mysterious Island,27335363,103860290,26.3,3470,7877,10-02-2012,Warner Bros.
The Rugrats Movie,27321470,100494675,27.2,2782,9820,20-11-1998,Paramount Pictures
Real Steel,27319677,85468508,32,3440,7941,07-10-2011,Walt Disney Studios Motion Pictures
Les Misérables,27281735,148809770,18.3,2814,9695,25-12-2012,Universal Pictures
Night School,27257615,77339130,35.2,3010,9055,28-09-2018,Universal Pictures
Encanto,27206494,96093622,28.3,3980,6835,24-11-2021,Walt Disney Studios Motion Pictures
Jack the Giant Slayer,27202226,65187603,41.7,3525,7716,01-03-2013,Warner Bros.
The Bourne Identity,27118640,121661683,22.3,2638,10280,14-06-2002,Universal Pictures
A Madea Family Funeral,27062332,73257045,36.9,2442,11082,01-03-2019,Lionsgate Films
2 Guns,27059130,75612460,35.8,3025,8945,02-08-2013,Universal Pictures
Terminator Genisys,27018486,89760956,30.1,3758,7189,01-07-2015,Paramount Pictures
Ender's Game,27017351,61737191,43.8,3407,7929,01-11-2013,Lionsgate Films
The Departed,26887467,132384315,20.3,3017,8911,06-10-2006,Warner Bros.
